time 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994
0.001369863 -2.8 -1.1 8.9 8.9 15.6 1.7 7.8 5.6 -4.4 7.2 -1.7 5.6 5 -1.7 -12.2 5.6 -3.9 -8.3 -8.9 -15 8.9 9.4 0.6 4.4 5 -5.6 6.1 3.9 -2.2 0.6 9.4 0.6 7.8 -1.1 5.6
0.004109589 -7.8 -1.7 12.8 8.3 12.8 2.8 1.1 1.7 -17.2 5.6 -2.2 -2.2 -1.1 6.1 -7.2 3.3 -7.8 -5 1.1 -7.8 5.6 14.4 0 2.2 3.3 1.7 5.6 7.2 0.6 5.6 11.1 -7.8 11.1 10.6 6.7
0.006849315 -9.4 6.1 14.4 11.7 5 6.7 8.9 2.2 -6.7 -5.6 -2.8 -6.7 -2.8 3.3 -9.4 4.4 -9.4 -3.9 3.3 -6.7 2.8 10 -1.1 5.6 7.8 10 6.7 7.2 -1.1 7.2 8.9 -10 7.2 6.1 8.3
0.009589041 -2.2 6.7 9.4 6.1 6.1 11.1 12.2 3.9 0.6 6.1 -5 -11.1 -7.8 -15 -5.6 4.4 -0.6 -5.6 5 -11.7 3.9 9.4 3.9 5 10 12.2 2.2 13.3 -7.8 12.8 1.7 -5.6 10 -2.2 8.3
0.01232877 -1.1 7.8 2.2 5.6 3.9 8.9 10 8.3 -5 11.1 -10.6 -13.3 -0.6 -3.9 -6.7 4.4 6.1 -7.8 8.9 -9.4 7.8 8.9 1.1 11.1 11.1 10 3.9 11.1 -12.2 9.4 5.6 -7.2 11.1 -5 5
0.01506849 4.4 11.7 3.3 9.4 3.3 11.7 12.8 6.7 -19.4 8.3 -10.6 -10 7.2 -9.4 -7.8 5 3.9 -1.7 8.3 -5 6.1 7.2 -15 11.1 7.8 8.3 3.3 5 -8.9 10.6 9.4 -13.3 11.1 -1.1 2.8
0.01780822 4.4 5 3.3 12.2 2.8 14.4 10 -8.9 1.7 10.6 -12.2 -4.4 10 -13.9 -1.1 3.3 -20.6 2.8 6.1 -11.1 -8.9 10 -5.6 11.1 10.6 6.1 3.9 3.3 -5 6.7 8.3 6.1 8.3 -4.4 -1.1
0.02054795 7.8 12.8 -1.1 13.9 -1.1 11.7 14.4 -0.6 3.3 10 -10 3.9 5 -16.1 -3.9 0 -5 0.6 -10 -1.1 -12.2 9.4 2.2 10.6 9.4 0.6 7.2 2.2 -10 -5 11.1 4.4 -1.1 -5.6 1.7
0.02328767 10 11.7 -16.1 6.7 -1.7 -2.2 13.3 -1.7 1.7 -3.3 3.3 2.8 7.8 -11.7 -9.4 3.3 6.7 -7.2 -15 -2.8 2.2 6.1 1.7 8.9 7.8 -5.6 10 3.3 -1.1 2.8 8.9 2.2 4.4 -8.3 5
0.0260274 5.6 9.4 -7.2 -7.2 1.1 3.9 7.2 5 7.2 -2.2 8.9 -3.9 5.6 -6.7 -13.9 -1.7 2.8 -6.7 -11.1 -10.6 12.8 10 -16.1 6.1 5.6 -7.2 7.8 6.1 7.8 1.7 17.2 3.3 10.6 -10.6 4.4
0.02876712 12.2 12.2 5 -19.4 -5 1.7 9.4 12.8 3.9 -8.9 6.1 -6.7 5 0 -12.8 -10.6 5 -3.3 -3.3 3.9 7.2 8.3 -12.8 4.4 4.4 -7.2 14.4 12.2 12.2 0 12.2 5 11.7 -8.9 7.8
0.03150685 9.4 11.7 2.8 -18.3 -6.7 0 6.7 7.8 -1.1 6.1 6.7 -12.2 4.4 7.8 1.1 -6.1 3.9 4.4 5.6 -6.7 12.8 11.7 -11.7 15 -7.8 1.1 10 17.8 8.3 1.1 3.3 8.3 8.3 -10 6.1
0.03424658 8.3 7.8 0.6 -5.6 0.6 2.8 6.1 7.8 5.6 0.6 8.3 -12.8 -8.9 10.6 10 4.4 0 3.3 1.7 -14.4 13.9 11.7 0 15 -4.4 5 10.6 15.6 -0.6 8.3 13.9 11.1 1.1 -12.8 6.1
0.0369863 -1.1 6.7 -5.6 -6.1 5 5 11.7 3.3 8.9 12.2 11.1 0.6 -16.1 12.8 10 6.7 1.1 3.9 1.1 -12.2 14.4 10 6.1 12.8 -6.7 5 13.9 2.2 7.8 5.6 12.8 8.9 2.2 -10 -11.1
0.03972603 5 11.7 -6.7 -1.1 2.8 6.1 7.8 2.8 10 7.2 9.4 7.8 1.1 16.7 14.4 3.3 6.1 -7.8 -3.9 -13.3 13.3 5.6 3.3 12.8 -7.8 5.6 12.2 0.6 11.1 2.8 10.6 8.3 -2.2 5.6 -3.3
0.04246575 -1.7 12.2 -1.1 -1.7 6.1 11.1 -4.4 9.4 13.3 0 -7.2 8.9 10 13.9 17.2 4.4 6.7 1.7 -13.9 5 8.9 -0.6 -11.1 7.2 -7.2 5 8.3 -6.1 9.4 9.4 6.7 5.6 9.4 5.6 -6.7
0.04520548 -3.3 7.2 -6.7 0 6.7 11.1 -1.1 -9.4 8.9 4.4 -17.8 6.1 9.4 12.2 17.2 8.3 11.1 1.1 1.7 4.4 10.6 3.9 9.4 3.9 -10 11.7 10 -1.1 5.6 12.2 5 6.1 3.9 -1.1 -17.8
0.04794521 -8.3 8.3 -16.7 -6.1 10 12.8 7.8 -2.2 2.8 2.2 -6.1 3.3 7.2 9.4 10 10 9.4 0.6 -10.6 6.1 8.9 11.7 6.1 6.7 -12.2 5 7.8 3.9 2.2 12.2 3.9 11.1 3.3 1.1 -7.2
0.05068493 -5.6 5 -15 -10 4.4 11.1 2.2 7.2 10.6 11.1 2.2 10 7.2 8.9 12.2 5 2.2 7.2 -10 3.3 -2.8 10 4.4 7.2 -12.8 3.9 13.9 3.3 -1.1 10.6 5 10.6 11.1 -2.2 -8.3
0.05342466 -1.1 3.9 -15.6 -0.6 12.8 11.7 -12.8 11.7 11.7 7.2 -2.2 10 7.2 6.1 9.4 8.3 8.3 9.4 -4.4 3.9 -0.6 8.9 -4.4 5.6 -7.2 -6.1 12.8 -0.6 0.6 12.2 7.2 -3.9 12.8 5.6 -0.6
0.05616438 -6.1 0.6 -17.8 7.2 14.4 8.9 -6.7 12.2 13.9 5 5.6 5 12.8 2.2 6.1 6.7 9.4 7.2 3.9 4.4 4.4 12.8 -12.8 5.6 2.8 -4.4 7.8 1.7 4.4 15.6 9.4 1.7 11.7 8.3 10.6
0.05890411 -6.1 3.9 -5.6 3.3 12.2 3.9 -8.3 15 7.2 -3.9 10 1.7 8.3 4.4 -1.7 6.1 10 5 5.6 2.8 3.3 17.8 -16.7 7.8 4.4 -0.6 5 0.6 2.8 15 11.7 3.3 8.3 9.4 11.7
0.06164384 3.3 14.4 -0.6 -17.2 1.1 2.2 -11.1 12.2 11.1 -14.4 13.3 6.7 3.9 11.7 3.9 11.7 9.4 4.4 2.2 -4.4 9.4 20.6 -13.9 6.7 4.4 3.9 11.7 -3.9 4.4 14.4 10.6 1.1 5 7.2 12.8
0.06438356 5.6 1.1 5 -7.8 -1.7 8.3 -15.6 1.7 15 -16.1 16.7 8.9 2.2 13.9 3.9 10 7.2 3.9 -0.6 5.6 10.6 18.3 10 2.2 7.2 7.2 8.3 8.3 3.9 -0.6 3.3 -3.9 12.8 -0.6 11.1
0.06712329 3.3 -6.7 6.1 -12.2 5.6 7.8 -3.9 -3.9 12.8 -11.1 15 8.9 -16.1 15.6 6.7 5.6 -1.1 2.2 -2.2 0.6 5.6 13.9 8.9 -1.1 10.6 7.2 4.4 8.3 2.8 2.2 6.7 -5.6 10 6.1 -3.9
0.06986301 -0.6 -8.3 7.8 -15.6 6.1 0 -1.1 -0.6 1.1 -4.4 6.1 2.8 -23.3 15.6 5.6 3.3 -2.8 2.2 -10 -3.3 -14.4 3.3 16.7 -2.8 9.4 7.2 2.8 12.2 8.9 10 12.2 -1.1 11.1 8.9 -4.4
0.07260274 7.8 0 8.3 -5.6 2.2 5.6 -13.3 10 -2.8 -5 15.6 12.8 -17.2 3.9 1.7 -6.7 6.7 6.7 1.1 -8.3 -17.2 6.1 14.4 11.1 6.1 3.3 12.8 13.9 12.2 15 11.1 2.8 9.4 8.9 -1.7
0.07534247 7.2 -2.2 8.3 -8.9 10.6 0.6 -15 12.2 -1.7 -13.3 12.2 11.1 -2.2 3.3 5 -3.9 8.3 -2.2 -5.6 -7.2 -13.9 5 5.6 11.1 9.4 3.9 13.3 12.2 16.1 3.9 6.7 1.1 13.3 -2.2 3.3
0.07808219 13.3 -3.3 11.7 -13.9 11.7 -1.1 -15 13.3 3.3 -7.8 1.1 14.4 -2.2 10.6 7.2 -3.9 15.6 -3.3 -6.1 -8.3 -13.9 0 6.7 9.4 8.3 0 11.1 10.6 15 11.7 7.8 -8.9 15 3.9 3.3
0.08082192 17.8 13.3 13.3 -7.2 10.6 -3.9 -8.3 11.7 10 0 6.7 3.3 0 12.2 8.9 -4.4 12.2 -5 -4.4 -11.7 -8.3 3.9 2.8 -1.7 5 -12.2 2.8 11.1 11.7 18.9 6.7 0 13.3 10 -10
0.08356164 9.4 14.4 15 11.1 6.7 7.2 -11.7 9.4 8.9 -0.6 11.1 -10 -1.1 11.1 8.9 -1.1 11.7 2.8 -7.2 -5 0 1.1 7.2 0.6 11.7 -12.8 10 12.2 9.4 18.9 2.8 8.3 17.8 12.8 -3.3
0.08630137 2.8 9.4 12.8 14.4 8.9 -10 -2.8 3.3 6.7 4.4 9.4 -2.2 -5 8.3 10.6 6.7 9.4 6.1 -12.8 -6.7 6.1 -2.2 -0.6 2.2 11.1 -12.2 12.8 12.2 -15.6 -5.6 -5.6 13.3 20.6 10.6 -3.3
0.0890411 4.4 5.6 16.1 0.6 3.9 -5.6 2.2 7.8 7.2 -1.1 2.8 3.3 -8.9 12.2 10 10.6 7.8 5.6 -11.1 -10 8.9 -1.1 -1.1 1.1 5 -9.4 13.9 8.3 -1.7 -28.9 7.2 15 16.7 7.2 1.1
0.09178082 4.4 4.4 18.9 13.3 3.3 -6.1 2.2 11.7 14.4 6.7 8.3 -5.6 -3.3 12.8 6.1 8.9 3.9 8.9 8.3 -2.8 8.9 1.1 -13.3 0 5.6 -12.8 15 6.1 -1.7 -27.2 8.9 13.9 13.9 1.7 -2.2
0.09452055 8.3 3.9 13.9 15 9.4 11.1 8.3 10.6 12.2 11.7 7.8 1.1 1.7 11.1 9.4 -7.2 -7.2 7.2 7.2 -4.4 8.9 2.2 -16.7 5 6.7 -13.3 11.1 3.9 -2.8 -7.8 14.4 13.3 11.7 5 3.3
0.09726027 6.7 7.2 -3.3 16.1 8.3 12.8 8.3 10 12.8 10 6.7 -1.7 0.6 9.4 8.9 -14.4 -12.8 9.4 -5 1.7 7.2 3.9 -11.7 3.3 8.9 -3.9 1.7 7.8 -10 -11.1 12.2 16.1 12.8 7.8 5
0.1 7.2 7.2 1.1 16.7 1.7 12.2 8.3 3.3 10 8.9 11.1 -6.7 -3.3 2.8 -0.6 -2.8 -4.4 5.6 -4.4 -1.1 4.4 5.6 -2.2 5.6 12.8 -4.4 -0.6 10.6 6.7 -7.8 12.2 15.6 10 11.1 3.9
0.1027397 11.7 6.1 3.3 18.3 3.3 10 6.1 2.2 10 6.1 9.4 -9.4 5 -5.6 -1.1 0.6 4.4 8.9 -6.1 7.2 1.7 2.2 -2.2 6.7 11.7 -1.7 -2.8 15.6 3.9 -3.3 10.6 14.4 4.4 10.6 -20
